sponsorName,sponsorCode,startTime,endTime,domain,clientId,episodeId,episodeType,createdAt,airDate
Lovable,,2719.0,3004.0,lovable.com,20vc,wSudjTgRm7o,youtube,2025-07-26T17:35:58.364641,20250717
,,0.0,0.0,nosponsors,20vc,CAi6HoyGaB8,youtube,2025-07-26T17:36:05.612990,20250714
,,0.0,0.0,nosponsors,99invisible,czKVO4PNzls,youtube,2025-07-26T17:36:09.104124,20250715
,,0.0,0.0,nosponsors,99invisible,x-iBf4lhknI,youtube,2025-07-26T17:36:13.928387,20250722
,,0.0,0.0,nosponsors,99invisible,bXF3lvvD3wU,youtube,2025-07-26T17:36:16.817582,20250708
,,0.0,0.0,nosponsors,99invisible,8dNMEX8BasU,youtube,2025-07-26T17:36:19.172246,20250701
,,0.0,0.0,nosponsors,Travel-in-10,NF3_TUEm0Es,youtube,2025-07-26T17:36:21.644707,20250715
,,0.0,0.0,nosponsors,Travel-in-10,1cRb0dGIae0,youtube,2025-07-26T17:36:24.570379,20250529
,,0.0,0.0,nosponsors,afterhoursentrepreneur,zqWeNjEySU0,youtube,2025-07-26T17:37:47.967608,20250715
LeadFi,,1681.0,1699.0,leadfi.ai,afterhoursentrepreneur,RK8MjkNnR3s,youtube,2025-07-26T17:37:51.281581,20250721
Scribe,,1460.0,1498.0,scribehow.com,afterhoursentrepreneur,3r4JCsRsZRA,youtube,2025-07-26T17:37:55.101461,20250616
RJM Tax Exemption,,46.0,57.0,rjmtaxexemption.com,afterhoursentrepreneur,cyEj-0g1gqw,youtube,2025-07-26T17:37:59.624318,20250630
Fonetti,,1112.0,1199.0,fonetti.com,afterhoursentrepreneur,cyEj-0g1gqw,youtube,2025-07-26T17:37:59.624336,20250630
,,0.0,0.0,nosponsors,afterhoursentrepreneur,Xa98m7fDdeQ,youtube,2025-07-26T17:38:04.264461,20250609
Absolute Rest,,1888.0,1900.0,absoluterest.com,alignpodcast,yEz6Ws3WQ70,youtube,2025-07-26T17:38:15.060931,20250717
Star Magic Healing,,4442.0,4465.0,starmagichealing.org,alignpodcast,Ii-3nu34sws,youtube,2025-07-26T17:38:23.592811,20250724
Galactic Planner,,2418.0,2422.0,galacticplanner.com,alignpodcast,tjAYYKVeEBs,youtube,2025-07-26T17:38:30.959597,20250710
Galactic Center,,3449.0,3492.0,galacticcenter.org,alignpodcast,tjAYYKVeEBs,youtube,2025-07-26T17:38:30.959616,20250710
University of Vedic Astrology,,3463.0,3467.0,universityofvedicastrology.com,alignpodcast,tjAYYKVeEBs,youtube,2025-07-26T17:38:30.959619,20250710
Mewing App,,3034.0,3043.0,mewingapp.co,alignpodcast,-fqaUvzH-tI,youtube,2025-07-26T17:38:42.321530,20250704
Myobrace,,4193.0,4198.0,myobrace.com,alignpodcast,-fqaUvzH-tI,youtube,2025-07-26T17:38:42.321557,20250704
,,0.0,0.0,nosponsors,alignpodcast,VB5HRYlz2Rs,youtube,2025-07-26T17:38:51.684632,20250626
,,0.0,0.0,nosponsors,allin,HmxbPH1PL_A,youtube,2025-07-26T17:38:57.136994,20250724
,,0.0,0.0,nosponsors,allin,jp9jDINt1mM,youtube,2025-07-26T17:39:02.577759,20250723
Crusoe,,1920.0,2404.0,crusoeenergy.com,allin,9WkGNe27r_Q,youtube,2025-07-26T17:39:09.526274,20250723
,,0.0,0.0,nosponsors,allin,8qT2SAJI_HQ,youtube,2025-07-26T17:39:12.934668,20250723
,,0.0,0.0,nosponsors,allin,Nmw43vcSFhw,youtube,2025-07-26T17:39:24.029101,20250723
Shopify,,0.0,600.0,shopify.com/Adulting,almostadulting,dbaJryd-uU8,youtube,2025-07-26T17:39:28.381166,20250710
,,0.0,0.0,nosponsors,almostadulting,6cEHyKphxmU,youtube,2025-07-26T17:39:30.539476,20250721
Simply Pop,,445.0,513.0,cokeurl.com/simplyPOP,almostadulting,-8ADz8viUWI,youtube,2025-07-26T17:39:36.426877,20250708
Nutrafol,adulting,912.0,1015.0,nutrafol.com,almostadulting,-8ADz8viUWI,youtube,2025-07-26T17:39:36.426900,20250708
Feeld,,1727.0,1950.0,feeld.co,almostadulting,-8ADz8viUWI,youtube,2025-07-26T17:39:36.426902,20250708
Pretty Litter,adulting,619.0,686.0,prettylitter.com,almostadulting,4vBtsX7EYnA,youtube,2025-07-26T17:39:41.866332,20250626
Stasis,Violet,1359.0,1432.0,takestasis.com,almostadulting,4vBtsX7EYnA,youtube,2025-07-26T17:39:41.866358,20250626
,,0.0,0.0,nosponsors,almostadulting,bdmS3IhkaAw,youtube,2025-07-26T17:39:46.075292,20250620
Helix,drink,518.0,596.0,helixsleep.com,andthatswhywedrink,4dMtMcN16y0,youtube,2025-07-26T17:39:53.457438,20250720
Audible,drink,600.0,672.0,audible.com,andthatswhywedrink,4dMtMcN16y0,youtube,2025-07-26T17:39:53.457461,20250720
Chime,drink,2604.0,2658.0,chime.com,andthatswhywedrink,4dMtMcN16y0,youtube,2025-07-26T17:39:53.457463,20250720
Smalls,drink,2664.0,2744.0,smalls.com,andthatswhywedrink,4dMtMcN16y0,youtube,2025-07-26T17:39:53.457465,20250720
Zocdoc,drink,1268.0,1329.0,zocdoc.com,andthatswhywedrink,s-XLr4i8nzA,youtube,2025-07-26T17:40:07.167925,20250713
Audible,drink,1348.0,1397.0,audible.com,andthatswhywedrink,s-XLr4i8nzA,youtube,2025-07-26T17:40:07.167946,20250713
Built,,3605.0,3677.0,joinbuilt.com,andthatswhywedrink,s-XLr4i8nzA,youtube,2025-07-26T17:40:07.167950,20250713
Mint Mobile,,3680.0,3764.0,mintmobile.com,andthatswhywedrink,s-XLr4i8nzA,youtube,2025-07-26T17:40:07.167952,20250713
Angry Orchard,,985.0,1160.0,angryorchard.com,andthatswhywedrink,d8BsF3Auwdk,youtube,2025-07-26T17:40:13.829151,20250701
Cornbread Hemp,drink,2561.0,2616.0,cornbread.com,andthatswhywedrink,d8BsF3Auwdk,youtube,2025-07-26T17:40:13.829172,20250701
Angry Orchard,,116.0,128.0,angryorchard.com,andthatswhywedrink,K8__Yh-AGSs,youtube,2025-07-26T17:40:33.385630,20250706
ModCloth,,132.0,136.0,modcloth.com,andthatswhywedrink,K8__Yh-AGSs,youtube,2025-07-26T17:40:33.385653,20250706
OneSkin,DRINK,1179.0,1254.0,oneskin.co,andthatswhywedrink,K8__Yh-AGSs,youtube,2025-07-26T17:40:33.385655,20250706
Chime,drink,3615.0,3650.0,chime.com,andthatswhywedrink,K8__Yh-AGSs,youtube,2025-07-26T17:40:33.385658,20250706
Hungry Root,drink,3671.0,3752.0,hungryroot.com,andthatswhywedrink,K8__Yh-AGSs,youtube,2025-07-26T17:40:33.385659,20250706
Daily Look,drink,874.0,930.0,dailylook.com,andthatswhywedrink,OY0X66FXVBU,youtube,2025-07-26T17:40:50.519768,20250629
Quince,drink,945.0,1015.0,quince.com,andthatswhywedrink,OY0X66FXVBU,youtube,2025-07-26T17:40:50.519793,20250629
Rocket Money,drink,3213.0,3271.0,rocketmoney.com,andthatswhywedrink,OY0X66FXVBU,youtube,2025-07-26T17:40:50.519797,20250629
Angry Orchard,,3274.0,3360.0,angryorchard.com,andthatswhywedrink,OY0X66FXVBU,youtube,2025-07-26T17:40:50.519800,20250629
,,0.0,0.0,nosponsors,anxietycoachespod,05MlPdWfeAU,youtube,2025-07-26T17:40:54.201339,20250709
,,0.0,0.0,nosponsors,armchairexpert,kf0P-EzjrOI,youtube,2025-07-26T17:41:04.721460,20200518
,,0.0,0.0,nosponsors,armchairexpert,rV3pfRWAigg,youtube,2025-07-26T17:41:15.931213,20200518
,,0.0,0.0,nosponsors,armchairexpert,XBjirg8Gcs0,youtube,2025-07-26T17:41:28.199625,20200514
,,0.0,0.0,nosponsors,arrowheadpride,4ICBp_1UlTc,youtube,2025-07-26T17:41:32.013924,20240905
Arrowhead Pride,podcast2,74.0,87.0,arrowheadpride.com,arrowheadpride,bZkX9B4GAYg,youtube,2025-07-26T17:41:38.474090,20250305
,,0.0,0.0,nosponsors,arrowheadpride,ieTT2WNSRzU,youtube,2025-07-26T17:41:42.112179,20240830
,,0.0,0.0,nosponsors,arrowheadpride,__Oym7NWL_s,youtube,2025-07-26T17:41:45.729071,20240821
,,0.0,0.0,nosponsors,asianbossgirl,EEYTXfHnPBA,youtube,2025-07-26T17:41:54.196213,20250124
,,0.0,0.0,nosponsors,asianbossgirl,CkD-NczgRoQ,youtube,2025-07-26T17:41:58.894777,20250103
OneSkin,ABG,408.0,481.0,oneskin.co,asianbossgirl,r-YdlNaaffU,youtube,2025-07-26T17:42:06.804848,20241220
Audible,,787.0,835.0,audible.com/abg,asianbossgirl,r-YdlNaaffU,youtube,2025-07-26T17:42:06.804875,20241220
Bilt,,1160.0,1201.0,joinbuilt.com/abg,asianbossgirl,r-YdlNaaffU,youtube,2025-07-26T17:42:06.804878,20241220
Bilt,ABG,1203.0,1223.0,joinbuilt.com,asianbossgirl,r-YdlNaaffU,youtube,2025-07-26T17:42:06.804881,20241220
ZocDoc,ABG,1661.0,1724.0,zocdoc.com,asianbossgirl,r-YdlNaaffU,youtube,2025-07-26T17:42:06.804884,20241220
McDonald's APA Next,,422.0,497.0,apanext.com,asianbossgirl,L69PUf-N8bU,youtube,2025-07-26T17:42:15.408042,20241213
Shopify,ABG,849.0,893.0,shopify.com/abg,asianbossgirl,L69PUf-N8bU,youtube,2025-07-26T17:42:15.408055,20241213
SKIMS,,1392.0,1458.0,skims.com,asianbossgirl,L69PUf-N8bU,youtube,2025-07-26T17:42:15.408057,20241213
Audible,,1906.0,1965.0,audible.com,asianbossgirl,L69PUf-N8bU,youtube,2025-07-26T17:42:15.408059,20241213
Honeylove,ABG,286.0,353.0,honeylove.com,asianbossgirl,y_dpJ9GsVCk,youtube,2025-07-26T17:42:22.117767,20241206
Hiya Health,ABG,794.0,862.0,hiyahealth.com,asianbossgirl,y_dpJ9GsVCk,youtube,2025-07-26T17:42:22.117782,20241206
Good American,ABG,1254.0,1323.0,goodamerican.com,asianbossgirl,y_dpJ9GsVCk,youtube,2025-07-26T17:42:22.117785,20241206
TrainerRoad,,0.0,1.0,trainerroad.com,askacyclingcoach,sX_0dVLmSRc,youtube,2025-07-26T17:42:33.107351,20250724
TrainerRoad,,0.0,2.8,trainerroad.com,askacyclingcoach,H4A14h0c6oY,youtube,2025-07-26T17:42:42.811095,20250717
TrainerRoad,,49.0,52.0,trainerroad.com,askacyclingcoach,H0AdjXTV99g,youtube,2025-07-26T17:42:54.865712,20250710
Liquid IV,,1806.0,1980.0,liquid-iv.com,askacyclingcoach,H0AdjXTV99g,youtube,2025-07-26T17:42:54.865734,20250710
Element,,1808.0,2005.0,drinklmnt.com,askacyclingcoach,H0AdjXTV99g,youtube,2025-07-26T17:42:54.865736,20250710
Trader Joe's,,2357.0,2401.0,traderjoes.com,askacyclingcoach,H0AdjXTV99g,youtube,2025-07-26T17:42:54.865739,20250710
Velocio,,4275.0,4315.0,velocio.cc,askacyclingcoach,H0AdjXTV99g,youtube,2025-07-26T17:42:54.865741,20250710
Never Second,,4349.0,4352.0,neversecond.com,askacyclingcoach,H0AdjXTV99g,youtube,2025-07-26T17:42:54.865743,20250710
TrainerRoad,,0.0,1.0,trainerroad.com,askacyclingcoach,dGqEVe_ezDI,youtube,2025-07-26T17:43:08.339988,20250703
TrainerRoad,,0.0,2.0,trainerroad.com,askacyclingcoach,_9yIdXfZg34,youtube,2025-07-26T17:43:17.706135,20250626
CycleSport,,3423.0,3435.0,cyclesport.com,askacyclingcoach,_9yIdXfZg34,youtube,2025-07-26T17:43:17.706151,20250626
,,0.0,0.0,nosponsors,athleticomince,rO83Hkto3NE,youtube,2025-07-26T17:43:23.201041,20210205
,,0.0,0.0,nosponsors,athleticomince,DmBv5eQBAeo,youtube,2025-07-26T17:43:26.431106,20210205
,,0.0,0.0,nosponsors,athleticomince,s9DwL0kf6Xc,youtube,2025-07-26T17:43:31.541086,20210205
,,0.0,0.0,nosponsors,athleticomince,eYYfExIiqIc,youtube,2025-07-26T17:43:36.437340,20210205
,,0.0,0.0,nosponsors,athleticomince,ozEXSNTuZvA,youtube,2025-07-26T17:43:40.643156,20210205
Bad Friends Merch,,18.0,27.0,badfriendsmerch.com,badfriends,Y2cd1HI_yEk,youtube,2025-07-26T17:43:51.756469,20250714
BlueChew,BADFRIENDS,1469.0,1553.0,bluechu.com,badfriends,Y2cd1HI_yEk,youtube,2025-07-26T17:43:51.756489,20250714
Shopify,,1554.0,1619.0,shopify.com/badfriends,badfriends,Y2cd1HI_yEk,youtube,2025-07-26T17:43:51.756491,20250714
Rocket Money,,1619.0,1684.0,rocketmoney.com/badfriends,badfriends,Y2cd1HI_yEk,youtube,2025-07-26T17:43:51.756493,20250714
Gemini,,2711.0,2773.0,gemini.com/badfriends,badfriends,Y2cd1HI_yEk,youtube,2025-07-26T17:43:51.756495,20250714
Kachava,BADFRIENDS,2775.0,2858.0,kachava.com,badfriends,Y2cd1HI_yEk,youtube,2025-07-26T17:43:51.756497,20250714
Bad Friends Merch,,20.0,22.0,badfriendsmerch.com,badfriends,-UEx-at2fE8,youtube,2025-07-26T17:44:05.395444,20250721
Autoblow,,609.0,732.0,autoblow.com,badfriends,-UEx-at2fE8,youtube,2025-07-26T17:44:05.395456,20250721
HelloFresh,badfriend10fm,1421.0,1499.0,hellofresh.com,badfriends,-UEx-at2fE8,youtube,2025-07-26T17:44:05.395458,20250721
Cash App,badfriends,1499.0,1592.0,cash.app,badfriends,-UEx-at2fE8,youtube,2025-07-26T17:44:05.395460,20250721
Manscaped,BADFRIENDS,2759.0,2836.0,manscaped.com,badfriends,-UEx-at2fE8,youtube,2025-07-26T17:44:05.395462,20250721
Square,,2836.0,2899.0,square.com/go/badfriends,badfriends,-UEx-at2fE8,youtube,2025-07-26T17:44:05.395463,20250721
Shopify,,1324.0,1400.0,shopify.com/badfriends,badfriends,reyaLGtpHMc,youtube,2025-07-26T17:44:16.469659,20250630
Gemini,,1413.0,1471.0,gemini.com/badfriends,badfriends,reyaLGtpHMc,youtube,2025-07-26T17:44:16.469675,20250630
ZocDoc,,1474.0,1538.0,zocdoc.com/badfriends,badfriends,reyaLGtpHMc,youtube,2025-07-26T17:44:16.469677,20250630
Factor,badfriends50off,2776.0,2848.0,factormeals.com/badfriends50off,badfriends,reyaLGtpHMc,youtube,2025-07-26T17:44:16.469679,20250630
TalkSpace,space80,2851.0,2945.0,talkspace.com,badfriends,reyaLGtpHMc,youtube,2025-07-26T17:44:16.469681,20250630
SimpliSafe,badfriends,1243.0,1329.0,simplisafe.com,badfriends,9X8vXxUTaog,youtube,2025-07-26T17:44:33.256343,20250707
ShipStation,badfriends,1332.0,1409.0,shipstation.com,badfriends,9X8vXxUTaog,youtube,2025-07-26T17:44:33.256360,20250707
Quince,badfriends,1411.0,1478.0,quince.com,badfriends,9X8vXxUTaog,youtube,2025-07-26T17:44:33.256362,20250707
Open Phone,badfriends,2902.0,2984.0,openphone.com/badfriends,badfriends,9X8vXxUTaog,youtube,2025-07-26T17:44:33.256365,20250707
ZocDoc,BADFRIENDS,2984.0,3004.0,zocdoc.com/BADFRIENDS,badfriends,9X8vXxUTaog,youtube,2025-07-26T17:44:33.256367,20250707
ZocDoc,badfriends,3015.0,3049.0,zocdoc.com,badfriends,9X8vXxUTaog,youtube,2025-07-26T17:44:33.256369,20250707
Ka'Chava,bad friends,1333.0,1402.0,kachava.com,badfriends,Q_1YI7pKuls,youtube,2025-07-26T17:44:41.958992,20250623
Knobs by Biöm,bad friends,1405.0,1492.0,betterbiom.com,badfriends,Q_1YI7pKuls,youtube,2025-07-26T17:44:41.959007,20250623
Rocket Money,,2576.0,2651.0,rocketmoney.com,badfriends,Q_1YI7pKuls,youtube,2025-07-26T17:44:41.959009,20250623
Shopify,,2655.0,2726.0,shopify.com/badfriends,badfriends,Q_1YI7pKuls,youtube,2025-07-26T17:44:41.959011,20250623
Microdose,BTV,2111.0,2134.0,microdose.com,badtv,2r9-YJBFDA0,youtube,2025-07-26T17:44:47.303208,20240131
Microdose,badtv,1570.0,1592.0,microdose.com,badtv,1FGyg7Mf1V4,youtube,2025-07-26T17:44:54.779617,20240120
Green Chef,60belowdeck,1682.0,1699.0,greenchef.com,badtv,1FGyg7Mf1V4,youtube,2025-07-26T17:44:54.779640,20240120
Pfizer,,2996.0,3006.0,pfizer.com,badtv,1FGyg7Mf1V4,youtube,2025-07-26T17:44:54.779643,20240120
Microdose,bad TV,1208.0,1295.0,microdose.com,badtv,gAEp7goKU2s,youtube,2025-07-26T17:45:00.183939,20240112
Green Chef,60 below deck,1325.0,1400.0,greenchef.com,badtv,gAEp7goKU2s,youtube,2025-07-26T17:45:00.183965,20240112
Microdose,bad TV,1236.0,1309.0,microdose.com,badtv,Ooq3-f5McTc,youtube,2025-07-26T17:45:04.822510,20231104
,,0.0,0.0,nosponsors,badtv,7XqqYAVp-cI,youtube,2025-07-26T17:45:09.112378,20231028
,,0.0,0.0,nosponsors,beermethatmovie,VFW9w2j1k_E,youtube,2025-07-26T17:45:14.745393,20250723
,,0.0,0.0,nosponsors,beermethatmovie,YTRcrpmOhQo,youtube,2025-07-26T17:45:20.628282,20250709
,,0.0,0.0,nosponsors,beermethatmovie,9-xFS4bzYjk,youtube,2025-07-26T17:45:27.154636,20250702
,,0.0,0.0,nosponsors,beermethatmovie,o5HaTuZRHwQ,youtube,2025-07-26T17:45:32.563142,20250625
Fieldwork Brewing,,53.0,100.0,fieldworkbrewing.com,beermethatmovie,VbIYNWoBEic,youtube,2025-07-26T17:45:39.090893,20250618
Jodie Moore Coaching,,101.0,137.0,jodiemore.com,betterthanhappy,yrvBiwjSFbE,youtube,2025-07-26T17:45:42.122881,20250711
,,0.0,0.0,nosponsors,betterthanhappy,wsu0zCdxEOA,youtube,2025-07-26T17:45:46.839786,20250718
,,0.0,0.0,nosponsors,betterthanhappy,IA6c1wwDjoc,youtube,2025-07-26T17:45:49.329293,20250704
,,0.0,0.0,nosponsors,betterthanhappy,1HYg6IE78Wo,youtube,2025-07-26T17:45:52.502476,20250627
Jody Moore Coaching,,119.0,137.0,jodymoore.com,betterthanhappy,4uvVIOm_bGk,youtube,2025-07-26T17:45:56.194552,20250620
Be Well By Kelly,PODCAST10,789.0,802.0,bewellbykelly.com,bewellby,pjahPc7HZYA,youtube,2025-07-26T17:46:06.690965,20250625
AG1,,808.0,883.0,drinkag1.com/bewell,bewellby,pjahPc7HZYA,youtube,2025-07-26T17:46:06.690984,20250625
Minnow,MEETMINNOW15,1810.0,1887.0,shopminnow.com,bewellby,pjahPc7HZYA,youtube,2025-07-26T17:46:06.690987,20250625
OneSkin,BEWELL,1887.0,1959.0,oneskin.co,bewellby,pjahPc7HZYA,youtube,2025-07-26T17:46:06.690989,20250625
Elementa Silver,RESTORATION15,3077.0,3134.0,elementasilver.com,bewellby,pjahPc7HZYA,youtube,2025-07-26T17:46:06.690991,20250625
Fatty 15,KELLY15,57.0,75.0,fatty15.com/KELLY15,bewellby,_TgnWnBRg7I,youtube,2025-07-26T17:46:25.835190,20250723
We Natal,,82.0,170.0,wenatal.com/pages/kelly,bewellby,_TgnWnBRg7I,youtube,2025-07-26T17:46:25.835213,20250723
Seed,25BEWELL,173.0,191.0,seed.com/partner/bewell,bewellby,_TgnWnBRg7I,youtube,2025-07-26T17:46:25.835217,20250723
Just Thrive,,176.0,488.0,justthrivehealth.com/pages/kellyleveque,bewellby,_TgnWnBRg7I,youtube,2025-07-26T17:46:25.835220,20250723
Now Foods,,252.0,305.0,nowfoods.com/healthy-living/now-wellness-experts/kelly-leveque,bewellby,_TgnWnBRg7I,youtube,2025-07-26T17:46:25.835222,20250723
AG1,,552.0,578.0,drinkAG1.com/bewell,bewellby,_TgnWnBRg7I,youtube,2025-07-26T17:46:25.835225,20250723
Element,,876.0,949.0,drinklmnt.com,bewellby,_TgnWnBRg7I,youtube,2025-07-26T17:46:25.835228,20250723
Thorne,,1302.0,1313.0,https://thor.ne/xnHXQ,bewellby,_TgnWnBRg7I,youtube,2025-07-26T17:46:25.835231,20250723
We Natal,,1315.0,1382.0,https://wenatal.com/pages/kelly?sscid=21k9_px3cc&,bewellby,_TgnWnBRg7I,youtube,2025-07-26T17:46:25.835234,20250723
Now Foods,,1674.0,1725.0,https://www.nowfoods.com/healthy-living/now-wellness-experts/kelly-leveque,bewellby,_TgnWnBRg7I,youtube,2025-07-26T17:46:25.835236,20250723
Force of Nature,,1543.0,1555.0,https://forceofnature.com/,bewellby,_TgnWnBRg7I,youtube,2025-07-26T17:46:25.835239,20250723
Minnow,MEETMINNOW15,1917.0,2001.0,shopminnow.com,bewellby,_TgnWnBRg7I,youtube,2025-07-26T17:46:25.835241,20250723
Fatty 15,KELLY15,2003.0,2108.0,fatty15.com,bewellby,_TgnWnBRg7I,youtube,2025-07-26T17:46:25.835244,20250723
AG1,,3011.0,3013.0,drinkAG1.com,bewellby,_TgnWnBRg7I,youtube,2025-07-26T17:46:25.835247,20250723
Thorne,,3186.0,3191.0,thor.ne,bewellby,_TgnWnBRg7I,youtube,2025-07-26T17:46:25.835249,20250723
Be Well By Kelly,PODCAST10,99.0,155.0,bewellbykelly.com,bewellby,cOTuyPeqRQE,youtube,2025-07-26T17:46:35.505192,20250611
AG1,,965.0,1041.0,drinkAG1.com/bewell,bewellby,cOTuyPeqRQE,youtube,2025-07-26T17:46:35.505235,20250611
